행정구역별(읍면동),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
행정구역별(읍면동),총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
　　　강남구,"508,135","243,322","264,813","498,857","238,710","260,147","9,278","4,612","4,666","212,582","208,833",87,"3,662","173,745","6,968","126,023","5,827","33,190","1,737","14,630"
　　　송파구,"643,288","309,802","333,486","633,026","305,040","327,986","10,262","4,762","5,500","259,785","255,766",67,"3,952","211,578","8,072","127,239","4,900","69,796","1,571","16,692"
　　　강동구,"444,434","218,299","226,135","437,847","215,297","222,550","6,587","3,002","3,585","179,794","177,148",43,"2,603","137,876","9,956","87,159","3,114","36,562","1,085","7,680"
부산광역시,"3,349,016","1,638,751","1,710,265","3,294,102","1,608,877","1,685,225","54,914","29,874","25,040","1,420,252","1,405,037",781,"14,434","1,275,859","196,817","860,042","31,112","174,214","13,674","80,046"
　　　읍부,"141,436","69,853","71,583","139,179","68,339","70,840","2,257","1,514",743,"55,610","55,070",40,500,"53,246","5,454","42,218","1,353","3,738",483,"1,977"
　　　면부,"28,029","13,935","14,094","27,768","13,786","13,982",261,149,112,"11,579","11,514",5,60,"12,295","2,793","9,038",137,146,181,289
　　　동부,"3,179,551","1,554,963","1,624,588","3,127,155","1,526,752","1,600,403","52,396","28,211","24,185","1,353,063","1,338,453",736,"13,874","1,210,318","188,570","808,786","29,622","170,330","13,010","77,780"
　　　중구,"41,439","20,420","21,019","39,225","19,040","20,185","2,214","1,380",834,"21,101","20,508",23,570,"17,170","4,407","5,802",710,"5,461",790,"2,426"
　　　서구,"105,303","51,131","54,172","103,032","49,700","53,332","2,271","1,431",840,"47,829","47,261",48,520,"41,592","13,931","18,626","1,307","7,175",553,"2,692"
　　　동구,"87,246","42,455","44,791","84,939","41,381","43,558","2,307","1,074","1,233","40,501","39,776",29,696,"33,775","13,576","13,867","1,076","4,672",584,"3,262"
　　　영도구,"113,224","56,614","56,610","111,058","55,278","55,780","2,166","1,336",830,"51,276","50,842",44,390,"46,617","14,162","26,868","1,181","3,865",541,"1,347"
　　　부산진구,"351,403","168,641","182,762","348,309","167,457","180,852","3,094","1,184","1,910","158,049","157,105",74,870,"141,650","22,197","95,473","1,660","20,918","1,402","13,512"
　　　동래구,"263,345","127,745","135,600","262,010","127,292","134,718","1,335",453,882,"106,443","106,013",39,391,"94,561","12,002","65,339","2,711","13,236","1,273","5,598"
　　　남구,"269,111","131,685","137,426","262,316","128,283","134,033","6,795","3,402","3,393","112,568","110,605",63,"1,900","108,223","17,308","64,324","3,132","22,493",966,"4,251"
　　　북구,"280,177","138,111","142,066","277,265","136,847","140,418","2,912","1,264","1,648","113,727","113,121",39,567,"106,250","7,225","86,325","2,323","9,696",681,"2,263"
　　　해운대구,"389,535","187,806","201,729","384,795","185,549","199,246","4,740","2,257","2,483","160,011","158,613",47,"1,351","146,373","12,107","116,573","2,499","14,290",904,"14,304"
　　　사하구,"312,057","155,311","156,746","306,744","152,098","154,646","5,313","3,213","2,100","129,762","128,354",67,"1,341","117,701","17,262","82,041","5,141","12,210","1,047","5,570"
　　　금정구,"237,219","115,300","121,919","232,543","113,370","119,173","4,676","1,930","2,746","103,542","101,802",93,"1,647","86,739","15,909","48,483","3,085","17,956","1,306","4,345"
　　　강서구,"136,734","72,095","64,639","130,624","67,026","63,598","6,110","5,069","1,041","52,737","51,376",45,"1,316","48,150","8,642","38,108",290,682,428,"3,182"
　　　연제구,"204,947","98,187","106,760","203,893","97,813","106,080","1,054",374,680,"86,043","85,699",36,308,"75,081","10,339","51,196","1,504","11,150",892,"5,435"
　　　수영구,"171,461","80,701","90,760","169,791","79,945","89,846","1,670",756,914,"77,302","76,700",32,570,"69,748","9,902","38,453","2,236","18,399",758,"5,257"
　　　사상구,"216,350","108,761","107,589","210,611","105,673","104,938","5,739","3,088","2,651","92,172","90,678",57,"1,437","76,688","9,601","57,308",767,"8,127",885,"4,336"
　　　기장군,"169,465","83,788","85,677","166,947","82,125","84,822","2,518","1,663",855,"67,189","66,584",45,560,"65,541","8,247","51,256","1,490","3,884",664,"2,266"
대구광역시,"2,410,700","1,190,271","1,220,429","2,373,302","1,170,625","1,202,677","37,398","19,646","17,752","997,416","985,816",512,"11,088","809,802","142,457","595,392","9,093","52,492","10,368","22,788"
　　　읍부,"237,111","120,575","116,536","230,595","116,681","113,914","6,516","3,894","2,622","91,581","89,718",53,"1,810","86,924","8,607","75,198",579,"1,714",826,"2,153"
　　　면부,"23,902","12,553","11,349","22,438","11,436","11,002","1,464","1,117",347,"9,997","9,652",24,321,"10,671","4,381","5,710",86,336,158,586
　　　동부,"2,149,687","1,057,143","1,092,544","2,120,269","1,042,508","1,077,761","29,418","14,635","14,783","895,838","886,446",435,"8,957","712,207","129,469","514,484","8,428","50,442","9,384","20,049"
　　　중구,"74,278","35,692","38,586","73,499","35,341","38,158",779,351,428,"35,114","34,805",37,272,"25,584","6,362","16,880",356,"1,152",834,"3,350"
　　　동구,"333,294","163,476","169,818","331,000","162,756","168,244","2,294",720,"1,574","142,473","141,788",71,614,"123,199","22,612","83,630","2,313","12,960","1,684","3,814"
　　　서구,"170,437","84,983","85,454","167,380","83,390","83,990","3,057","1,593","1,464","75,132","74,097",45,990,"51,379","20,821","17,950",747,"10,768","1,093","1,162"
　　　남구,"145,588","69,569","76,019","143,788","68,869","74,919","1,800",700,"1,100","69,654","69,120",54,480,"42,607","19,036","16,495",552,"5,660",864,"1,122"
　　　북구,"446,466","222,464","224,002","440,171","219,461","220,710","6,295","3,003","3,292","181,778","179,584",69,"2,125","147,686","19,686","118,066","1,875","6,233","1,826","4,079"
　　　수성구,"412,912","200,040","212,872","410,742","199,194","211,548","2,170",846,"1,324","160,984","160,239",38,707,"136,996","20,359","107,205","1,274","7,035","1,123","2,961"
　　　달서구,"566,712","280,919","285,793","553,689","273,497","280,192","13,023","7,422","5,601","230,703","226,813",121,"3,769","184,756","20,593","154,258","1,311","6,634","1,960","3,561"
　　　달성군,"261,013","133,128","127,885","253,033","128,117","124,916","7,980","5,011","2,969","101,578","99,370",77,"2,131","97,595","12,988","80,908",665,"2,050",984,"2,739"
인천광역시,"2,945,454","1,477,064","1,468,390","2,846,242","1,422,376","1,423,866","99,212","54,688","44,524","1,178,564","1,147,200",762,"30,602","1,032,774","95,700","661,611","27,704","238,777","8,982","91,011"
　　　읍부,"21,601","10,700","10,901","21,239","10,524","10,715",362,176,186,"8,871","8,790",9,72,"8,913","3,378","1,155",843,"3,379",158,270
　　　면부,"63,711","33,489","30,222","62,618","32,732","29,886","1,093",757,336,"28,141","27,787",67,287,"28,702","23,949","1,831",778,"1,486",658,"1,434"
　　　동부,"2,860,142","1,432,875","1,427,267","2,762,385","1,379,120","1,383,265","97,757","53,755","44,002","1,141,552","1,110,623",686,"30,243","995,159","68,373","658,625","26,083","233,912","8,166","89,307"
　　　중구,"138,586","71,310","67,276","133,337","68,621","64,716","5,249","2,689","2,560","61,142","59,494",56,"1,592","50,974","8,061","32,631","1,848","7,749",685,"7,279"
　　　동구,"61,285","30,795","30,490","60,090","30,155","29,935","1,195",640,555,"25,606","25,234",15,357,"24,518","6,421","14,429",356,"3,032",280,819
　　　연수구,"390,260","194,264","195,996","371,668","184,541","187,127","18,592","9,723","8,869","147,391","141,117",65,"6,209","127,407","3,499","116,186",919,"6,502",301,"9,356"
